

Graph1.txt



src-id	dst-id	pir
11	10	1.0
14	10	0.814
1	2	0.724
4	0	0.724
0	1	0.724
2	6	0.714
6	7	0.706
11	14	0.626
7	11	0.6
9	8	0.314
5	4	0.14
1	3	0.098
2	3	0.054
14	15	0.032
13	15	0.032
13	12	0.032
15	9	0.032
6	15	0.032
9	12	0.032
8	12	0.032


Graph1.txt



src-id	dst-id	pir
7	6	1.0
2	6	0.814
13	14	0.724
8	12	0.724
12	13	0.724
14	10	0.714
10	11	0.706
7	2	0.626
11	7	0.6
5	4	0.314
9	8	0.14
13	15	0.098
14	15	0.054
2	3	0.032
1	3	0.032
1	0	0.032
3	5	0.032
10	3	0.032
5	0	0.032
4	0	0.032


Graph1.txt



src-id	dst-id	pir
7	6	1.0
2	6	0.814
13	14	0.724
8	12	0.724
12	13	0.724
14	10	0.714
10	11	0.706
7	2	0.626
11	7	0.6
5	4	0.314
9	8	0.14
13	15	0.098
14	15	0.054
2	3	0.032
1	3	0.032
1	0	0.032
3	5	0.032
10	3	0.032
5	0	0.032
4	0	0.032


Graph1.txt



src-id	dst-id	pir
3	7	1.0
6	7	0.814
4	0	0.724
9	8	0.724
8	4	0.724
0	1	0.714
1	2	0.706
3	6	0.626
2	3	0.6
10	11	0.314
13	9	0.14
4	5	0.098
0	5	0.054
6	12	0.032
14	12	0.032
14	15	0.032
12	10	0.032
1	12	0.032
10	15	0.032
11	15	0.032


Graph7.txt



src-id	dst-id	pir
1	0	1.0
15	7	0.8134722786895769
2	3	0.813151306357392
15	2	0.813151306357392
1	5	0.8122311856717951
15	5	0.5271221620696296
9	8	0.0868765112447307
13	12	0.04457235786275224
8	4	0.010699077739498856
15	1	0.004129844007446559
15	13	0.0005349538869749428
12	4	0.0002139815547899771


Graph7.txt



src-id	dst-id	pir
1	0	1.0
15	7	0.8134722786895769
2	3	0.813151306357392
15	2	0.813151306357392
1	5	0.8122311856717951
15	5	0.5271221620696296
9	8	0.0868765112447307
13	12	0.04457235786275224
8	4	0.010699077739498856
15	1	0.004129844007446559
15	13	0.0005349538869749428
12	4	0.0002139815547899771


tempGraph.txt



src-id	dst-id	pir
3	2	1.0
7	6	0.38461538461538464
7	2	0.3076923076923077
3	6	0.3076923076923077
7	3	0.23076923076923078
4	6	0.15384615384615385
5	2	0.15384615384615385
4	2	0.07692307692307693
5	6	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
1	0	1.0
5	6	0.38461538461538464
5	0	0.3076923076923077
1	6	0.3076923076923077
5	1	0.23076923076923078
7	6	0.15384615384615385
4	0	0.15384615384615385
7	0	0.07692307692307693
4	6	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
4	0	1.0
5	6	0.38461538461538464
5	0	0.3076923076923077
4	6	0.3076923076923077
5	4	0.23076923076923078
1	6	0.15384615384615385
7	0	0.15384615384615385
1	0	0.07692307692307693
7	6	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
2	3	1.0
6	5	0.38461538461538464
6	3	0.3076923076923077
2	5	0.3076923076923077
6	2	0.23076923076923078
4	5	0.15384615384615385
7	3	0.15384615384615385
4	3	0.07692307692307693
7	5	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
3	2	1.0
7	6	0.38461538461538464
7	2	0.3076923076923077
3	6	0.3076923076923077
7	3	0.23076923076923078
4	6	0.15384615384615385
5	2	0.15384615384615385
4	2	0.07692307692307693
5	6	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
3	2	1.0
7	6	0.38461538461538464
7	2	0.3076923076923077
3	6	0.3076923076923077
7	3	0.23076923076923078
4	6	0.15384615384615385
5	2	0.15384615384615385
4	2	0.07692307692307693
5	6	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
1	0	1.0
4	5	0.38461538461538464
4	0	0.3076923076923077
1	5	0.3076923076923077
4	1	0.23076923076923078
6	5	0.15384615384615385
7	0	0.15384615384615385
6	0	0.07692307692307693
7	5	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
3	2	1.0
7	6	0.38461538461538464
7	2	0.3076923076923077
3	6	0.3076923076923077
7	3	0.23076923076923078
4	6	0.15384615384615385
5	2	0.15384615384615385
4	2	0.07692307692307693
5	6	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
3	2	1.0
7	6	0.38461538461538464
7	2	0.3076923076923077
3	6	0.3076923076923077
7	3	0.23076923076923078
4	6	0.15384615384615385
5	2	0.15384615384615385
4	2	0.07692307692307693
5	6	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
2	1	1.0
5	4	0.38461538461538464
5	1	0.3076923076923077
2	4	0.3076923076923077
5	2	0.23076923076923078
3	4	0.15384615384615385
6	1	0.15384615384615385
3	1	0.07692307692307693
6	4	0.07692307692307693


tempGraph.txt



src-id	dst-id	pir
4	0	1.0
5	6	0.38461538461538464
5	0	0.3076923076923077
4	6	0.3076923076923077
5	4	0.23076923076923078
1	6	0.15384615384615385
7	0	0.15384615384615385
1	0	0.07692307692307693
7	6	0.07692307692307693


Graph1.txt



src-id	dst-id	pir
0	4	1.0
5	4	0.814
7	3	0.724
10	11	0.724
11	7	0.724
3	2	0.714
2	1	0.706
0	5	0.626
1	0	0.6
13	12	0.314
14	10	0.14
7	6	0.098
3	6	0.054
5	15	0.032
9	15	0.032
9	8	0.032
15	13	0.032
2	15	0.032
13	8	0.032
12	8	0.032


Graph1.txt



src-id	dst-id	pir
3	7	1.0
6	7	0.814
5	0	0.724
11	10	0.724
10	5	0.724
0	1	0.714
1	2	0.706
3	6	0.626
2	3	0.6
9	8	0.314
15	11	0.14
5	4	0.098
0	4	0.054
6	14	0.032
13	14	0.032
13	12	0.032
14	9	0.032
1	14	0.032
9	12	0.032
8	12	0.032


Graph1.txt



src-id	dst-id	pir
3	7	1.0
6	7	0.814
4	0	0.724
9	8	0.724
8	4	0.724
0	1	0.714
1	2	0.706
3	6	0.626
2	3	0.6
14	15	0.314
13	9	0.14
4	5	0.098
0	5	0.054
6	10	0.032
12	10	0.032
12	11	0.032
10	14	0.032
1	10	0.032
14	11	0.032
15	11	0.032


Graph1.txt



src-id	dst-id	pir
7	6	1.0
2	6	0.814
13	14	0.724
8	12	0.724
12	13	0.724
14	10	0.714
10	11	0.706
7	2	0.626
11	7	0.6
1	0	0.314
9	8	0.14
13	15	0.098
14	15	0.054
2	3	0.032
5	3	0.032
5	4	0.032
3	1	0.032
10	3	0.032
1	4	0.032
0	4	0.032


Graph1.txt



src-id	dst-id	pir
11	10	1.0
14	10	0.814
1	2	0.724
4	0	0.724
0	1	0.724
2	6	0.714
6	7	0.706
11	14	0.626
7	11	0.6
13	12	0.314
5	4	0.14
1	3	0.098
2	3	0.054
14	15	0.032
9	15	0.032
9	8	0.032
15	13	0.032
6	15	0.032
13	8	0.032
12	8	0.032


Graph1.txt



src-id	dst-id	pir
7	6	1.0
2	6	0.814
13	14	0.724
8	12	0.724
12	13	0.724
14	10	0.714
10	11	0.706
7	2	0.626
11	7	0.6
1	0	0.314
9	8	0.14
13	15	0.098
14	15	0.054
2	3	0.032
5	3	0.032
5	4	0.032
3	1	0.032
10	3	0.032
1	4	0.032
0	4	0.032


Graph1.txt



src-id	dst-id	pir
0	4	1.0
5	4	0.814
7	3	0.724
10	11	0.724
11	7	0.724
3	2	0.714
2	1	0.706
0	5	0.626
1	0	0.6
13	12	0.314
14	10	0.14
7	6	0.098
3	6	0.054
5	9	0.032
15	9	0.032
15	8	0.032
9	13	0.032
2	9	0.032
13	8	0.032
12	8	0.032


Graph1.txt



src-id	dst-id	pir
15	11	1.0
10	11	0.814
9	12	0.724
4	5	0.724
5	9	0.724
12	13	0.714
13	14	0.706
15	10	0.626
14	15	0.6
6	7	0.314
0	4	0.14
9	8	0.098
12	8	0.054
10	2	0.032
1	2	0.032
1	3	0.032
2	6	0.032
13	2	0.032
6	3	0.032
7	3	0.032


Graph1.txt



src-id	dst-id	pir
0	4	1.0
5	4	0.814
7	3	0.724
10	11	0.724
11	7	0.724
3	2	0.714
2	1	0.706
0	5	0.626
1	0	0.6
13	12	0.314
14	10	0.14
7	6	0.098
3	6	0.054
5	15	0.032
9	15	0.032
9	8	0.032
15	13	0.032
2	15	0.032
13	8	0.032
12	8	0.032


Graph2.txt



src-id	dst-id	pir
5	4	1.0
8	4	0.7362637362637363
1	5	0.6593406593406593
8	9	0.5494505494505495
8	12	0.27472527472527475
0	5	0.2087912087912088
8	13	0.1901098901098901
6	5	0.06593406593406594
1	7	0.04395604395604396
6	7	0.04395604395604396
5	13	0.035164835164835165
2	5	0.0005494505494505495
5	3	0.0005494505494505495


Graph2.txt



src-id	dst-id	pir
5	4	1.0
8	4	0.7362637362637363
1	5	0.6593406593406593
8	9	0.5494505494505495
8	12	0.27472527472527475
0	5	0.2087912087912088
8	13	0.1901098901098901
6	5	0.06593406593406594
1	7	0.04395604395604396
6	7	0.04395604395604396
5	13	0.035164835164835165
2	5	0.0005494505494505495
5	3	0.0005494505494505495


Graph3.txt



src-id	dst-id	pir
0	1	1.0
0	4	0.5
1	2	0.5
2	3	0.5
3	7	0.5
4	5	0.5
5	7	0.5
7	6	0.5


Graph3.txt



src-id	dst-id	pir
6	7	1.0
6	4	0.5
7	3	0.5
3	2	0.5
2	1	0.5
4	5	0.5
5	1	0.5
1	0	0.5


Graph1.txt



src-id	dst-id	pir
11	10	1.0
14	10	0.814
1	2	0.724
4	0	0.724
0	1	0.724
2	6	0.714
6	7	0.706
11	14	0.626
7	11	0.6
9	8	0.314
5	4	0.14
1	3	0.098
2	3	0.054
14	15	0.032
13	15	0.032
13	12	0.032
15	9	0.032
6	15	0.032
9	12	0.032
8	12	0.032


Graph1.txt



src-id	dst-id	pir
0	4	1.0
5	4	0.814
6	3	0.724
11	10	0.724
10	6	0.724
3	2	0.714
2	1	0.706
0	5	0.626
1	0	0.6
13	12	0.314
15	11	0.14
6	7	0.098
3	7	0.054
5	9	0.032
14	9	0.032
14	8	0.032
9	13	0.032
2	9	0.032
13	8	0.032
12	8	0.032


Graph12.txt



src-id	dst-id	pir
0	0	1.0
0	0	1.0
0	0	1.0
0	0	1.0
1	0	0.5333333333333333
0	0	0.5333333333333333
0	0	0.5333333333333333
0	0	0.26666666666666666
10	11	0.26666666666666666
0	0	0.26666666666666666
11	9	0.26666666666666666
9	1	0.26666666666666666
31	10	0.26666666666666666
0	0	0.26666666666666666
0	0	0.26666666666666666
0	0	0.26666666666666666
0	0	0.26666666666666666
0	0	0.26666666666666666
0	3	0.06666666666666667
8	0	0.06666666666666667
0	0	0.06666666666666667


Graph12.txt



src-id	dst-id	pir
0	0	1.0
0	0	1.0
0	0	1.0
0	0	1.0
25	24	0.5333333333333333
0	0	0.5333333333333333
0	0	0.5333333333333333
27	26	0.26666666666666666
0	16	0.26666666666666666
0	0	0.26666666666666666
16	17	0.26666666666666666
17	25	0.26666666666666666
31	0	0.26666666666666666
0	0	0.26666666666666666
0	0	0.26666666666666666
0	0	0.26666666666666666
18	19	0.26666666666666666
19	27	0.26666666666666666
0	0	0.06666666666666667
0	0	0.06666666666666667
0	0	0.06666666666666667


Graph12.txt



src-id	dst-id	pir
18	19	1.0
19	27	1.0
27	26	1.0
26	25	1.0
0	0	0.5333333333333333
10	2	0.5333333333333333
2	3	0.5333333333333333
1	0	0.26666666666666666
0	0	0.26666666666666666
18	25	0.26666666666666666
0	0	0.26666666666666666
0	0	0.26666666666666666
31	0	0.26666666666666666
25	24	0.26666666666666666
24	16	0.26666666666666666
16	17	0.26666666666666666
8	9	0.26666666666666666
9	1	0.26666666666666666
17	0	0.06666666666666667
11	10	0.06666666666666667
3	0	0.06666666666666667


Graph1.txt



src-id	dst-id	pir
6	7	1.0
3	7	0.814
10	13	0.724
15	11	0.724
11	10	0.724
13	9	0.714
9	8	0.706
6	3	0.626
8	6	0.6
1	0	0.314
14	15	0.14
10	12	0.098
13	12	0.054
3	2	0.032
5	2	0.032
5	4	0.032
2	1	0.032
9	2	0.032
1	4	0.032
0	4	0.032


Graph1.txt



src-id	dst-id	pir
7	6	1.0
3	6	0.814
10	13	0.724
15	11	0.724
11	10	0.724
13	9	0.714
9	8	0.706
7	3	0.626
8	7	0.6
1	0	0.314
14	15	0.14
10	12	0.098
13	12	0.054
3	2	0.032
5	2	0.032
5	4	0.032
2	1	0.032
9	2	0.032
1	4	0.032
0	4	0.032
